SEQ COD;DATA;BP;CLIENTE;UF;MUNICIPIO;NF;CÓDIGO;PRODUTO;QTD;R$ UN VND;VALOR;LOTE;REP;CANAL;MOTIVO;OBS;TRATATIVA;ANALISTA
4587075182;2025-08-01;75182;MHR TRANSPORTE E COMERCIO DE CONFECCOES LTDA;RS;SANTA MARIA;153512.0;904706;AQUARELA BAZZE 12 CORES CJTO;25.0;4.8154;120.385;;MAX BREUEL E CIA LTDA;UNIDADE;DEFEITO;DERRETIMENTO;DEVOLUÇÃO;ANDREIA AGUIAR GARCIA GASPARONI
4587065795;2025-08-01;65795;PAPERBLUE DISTRIBUIDORA DE EQUIPAMEE PAPELARIA LTDA;PB;JOAO PESSOA;127846.0;904645;GRAMP BAZZE HEAVY DUTY B5100 100F MET UN;1.0;34.32;34.32;;A E G REPRESENTACOES LTDA;UNIDADE;DEFEITO;NÃO ESTA GRAMPEANDO;ABATIMENTO;ADRIANO FALCAO SARMENTO
4587068882;2025-08-01;68882;FRANCISCA DIAS DE ANDRADE RODRIGUES;PB;JOAO PESSOA;138000.0;905093;CANETA GEL TRIS RAINBOW 1.0 DP 24UN;5.0;3.84;19.2;;A E G REPRESENTACOES LTDA;DISPLAY;DEFEITO;CANETAS COM VAZAMENTO;ABATIMENTO;ADRIANO FALCAO SARMENTO
4587175728;2025-08-02;75728;ROSELI GONCALVES FOTOCOPIAS;PR;CURITIBA;155682.0;909015;CANETA GEL APAGAVEL BAZZE 1.0MM DP24UN;1.0;84.36;84.36;;ETK REPRESENTACOES COMERCIAIS LTDA;DISPLAY;DEFEITO;CANETAS SECAS;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4587676612;2025-08-07;76612;CASA MIX UTILIDADES DOMESTICAS BRINQUEDOS E PAPELARIA LTDA;PR;CURITIBA;123655.0;904706;AQUARELA BAZZE 12 CORES CJTO;4.0;4.54;18.16;;ETK REPRESENTACOES COMERCIAIS LTDA;UNIDADE;DEFEITO;DERRETIMENTO;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4587676612;2025-08-07;76612;CASA MIX UTILIDADES DOMESTICAS BRINQUEDOS E PAPELARIA LTDA;PR;CURITIBA;119613.0;614564;PERF BAZZE 2 FUROS B6210 10F METAL PTOUN;1.0;5.9;5.9;;ETK REPRESENTACOES COMERCIAIS LTDA;UNIDADE;DEFEITO;NÃO FUNCIONA;ABATIMENTO;GABRIELA SOUZA DOS SANTOS
4587635714;2025-08-07;35714;STILL INFORMATICA LTDA ME;SP;CAPIVARI;156002.0;911438;ESTILETE PLAST ARTOOLS CART 1UN;1.0;10.0;10.0;;M Y YAMAMOTO REPRESENTACAO;UNIDADE;DEFEITO;SEM DESCRIÇÃO;ABATIMENTO;FABIANA DOS SANTOS CHAVES
4587673861;2025-08-07;73861;HIPER DIFERENTE ATACADO DE VARIEDADES LTDA;SC;BALNEARIO CAMBORIU;146017.0;904706;AQUARELA BAZZE 12 CORES CJTO;38.0;4.0248;152.9424;;SABRI RIBEIRO REPRESENTACOES E COME;UNIDADE;DEFEITO;DERRETIMENTO;DEVOLUÇÃO;GABRIELA SOUZA DOS SANTOS
4588077586;2025-08-11;77586;MELANIA TEREZINHA CRUZ DE SOUZA;RS;VIAMAO;154344.0;904706;AQUARELA BAZZE 12 CORES CJTO;12.0;5.02;60.239999999999995;;MAX BREUEL E CIA LTDA;UNIDADE;DEFEITO;DERRETIMENTO;ABATIMENTO;ANDREIA AGUIAR GARCIA GASPARONI
4588027090;2025-08-11;27090;FRANCISCA SILVANA PINTO;PB;JOAO PESSOA;;612751;GRAMP BAZZE MINI B5101 COR PLAST CX12UN;4.0;4.22;16.88;;A E G REPRESENTACOES LTDA;UNIDADE;DEFEITO;NÃO FUNCIONA;ABATIMENTO;ADRIANO FALCAO SARMENTO
4588027090;2025-08-11;27090;FRANCISCA SILVANA PINTO;PB;JOAO PESSOA;;653235;CANETA GEL TRIS INKFINITY PASTEL BCO CX6;4.0;2.71;10.84;;A E G REPRESENTACOES LTDA;UNIDADE;DEFEITO;FALHA NA ESCRITA;ABATIMENTO;ADRIANO FALCAO SARMENTO
4588158696;2025-08-12;58696;JOSE DA PURIFICACAO RODRIGUES ME;PE;AFRANIO;73277.0;684222;MASSA MODELAR SUPERSOFT 12 CORES CX;40.0;4.292;171.68;;MIGUEL TRAJANO REPRESENTACOES LTDA;UNIDADE;DEFEITO;MASSA FICOU RIGIDA;DEVOLUÇÃO;ADRIANO FALCAO SARMENTO
4588158696;2025-08-12;58696;JOSE DA PURIFICACAO RODRIGUES ME;PE;AFRANIO;143426.0;905765;APONTADOR DEP DIVERTIDAMENTE  POTE 12UN;1.0;45.19;45.19;;MIGUEL TRAJANO REPRESENTACOES LTDA;UNIDADE;DEFEITO;ABERTURA PARA APONTAR AO CONTRARIO;DEVOLUÇÃO;ADRIANO FALCAO SARMENTO
